ICAO,CIAD,NOME,MUNICÍPIO ATENDIDO,UF,LATITUDE,LONGITUDE,ALTITUDE,OPERAÇÃO,DESIGNAÇÃO,COMPRIMENTO,LARGURA,RESISTÊNCIA,SUPERFÍCIE,,,,,,,,,,,,,,,,,,,,,,,,
SBCH,SC0003,SERAFIN ENOSS BERTASO,CHAPECÓ,SC,27° 8' 2'' S,52° 39' 43'' W,654,VFR Diurno/Noturno e IFR Diurno/Noturno, 11/29,2063,45,PCN 45/F/B/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SBCI,MA0003,BRIGADEIRO LYSIAS AUGUSTO RODRIGUES,CAROLINA,MA,7° 19' 14'' S,47° 27' 31'' W,172,VFR Diurno/Noturno e IFR Diurno/Noturno, 11/29,1800,45,PCN 18/F/C/Y/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SBCJ,PA0006,CARAJÁS,PARAUAPEBAS,PA,6° 6' 55'' S,50° 0' 5'' W,629,VFR Diurno/Noturno e IFR Diurno/Noturno, 10/28,2000,45,PCN 41/F/B/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SSIM,SC0009,FORQUILHINHA/CRICIÚMA (SBCM*),FORQUILHINHA,SC,28° 43' 28'' S,49° 25' 17'' W,28,VFR Diurno/Noturno e IFR Diurno/Noturno, 09/27,1491,30,PCN 22/F/C/X/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SBCN,GO0003,NELSON RODRIGUES GUIMARÃES,CALDAS NOVAS,GO,17° 43' 29'' S,48° 36' 36'' W,685,VFR Diurno/Noturno e IFR Diurno/Noturno, 09/27,2100,30,PCN 35/F/A/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SBCP,RJ0006,BARTOLOMEU LISANDRO,CAMPOS DOS GOYTACAZES,RJ,21° 42' 4'' S,41° 18' 28'' W,17,VFR Diurno/Noturno e IFR Diurno/Noturno, 07/25,1544,45,PCN 29/F/A/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SBCR,MS0009,CORUMBÁ,CORUMBÁ,MS,19° 0' 43'' S,57° 40' 17'' W,141,VFR Diurno/Noturno e IFR Diurno/Noturno, 09/27,1500,45,PCN 71/F/C/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SBCT,PR0001,AFONSO PENA,CURITIBA,PR,25° 31' 54'' S,49° 10' 34'' W,911,VFR Diurno/Noturno e IFR Diurno/Noturno, 15/33,2218,45,PCN 42/F/A/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SSCV,BA0012,CARAVELAS,CARAVELAS,BA,17° 39' 2'' S,39° 15' 16'' W,11,VFR Diurno, 06/24,1530,45,PCN 32/F/C/X/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SBCX,RS0007,HUGO CANTERGIANI,CAXIAS DO SUL,RS,29° 11' 44'' S,51° 11' 23'' W,754,VFR Diurno/Noturno e IFR Diurno/Noturno, 15/33,1670,30,PCN 45/F/A/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SBCY,MT0001,MARECHAL RONDON,VÁRZEA GRANDE,MT,15° 39' 0'' S,56° 7' 3'' W,188,VFR Diurno/Noturno e IFR Diurno/Noturno, 17/35,2300,45,PCN 46/F/B/X/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
